Q14942930	Wikimedia subject-area collaboration
Q105948247	systems of knowledge produced over time through interactions with other human beings
Q39073224	album by Orange 9mm
Q2073980	subfamily of reptiles (fossil)
Q9505308	controlled outdoor fire
Q593644	scientist trained in the study of chemistry
Q319497	Russian politician
Q34396	salt of fatty acids (long-chain carboxylic acids), used for washing and cleaning
Q38	country in Southern Europe
Q28810794	Wikimedia category
Q13119823	soft tissue of an organism
Q8458228	Wikimedia category
Q30032147	Information and communication > Information sciences
Q41549	national coat of arms of Canada
Q1811550	aspect of history
Q16332653	phenomenon that takes place in the atmosphere
Q385378	activity that consists of the building or assembling of a building or infrastructure
Q1151752	form of locomotion or movement
Q819654	cemetery in Heidelberg, Germany
Q96943145	person employed to look after a public building or a house in the owner's absence
Q2453629	class of container from which you drink
Q561352	British army officer and the first Lieutenant Governor of Upper Canada (1752-1806)
Q3929317	transfer of thermal energy via thermal radiation, heat conduction or convection
Q5621162	Wikimedia template
Q32104250	Wikimedia category
Q920346	aspect of history
Q12488383	matter or entity that is contained
Q17175676	film genre
Q55433472	quality of being sharp; of having a sharp edge or point
Q784975	aspect of history
Q55329320	Wikimedia category
Q36496	atom or molecule in which the total number of electrons is not equal to the total number of protons, giving the atom a net positive or negative electrical charge
Q11698396	independent Polish record label
Q9485163	Wikimedia category
Q18888403	Wikimedia category
Q483269	group of iron-carbon alloys
Q8806031	Wikimedia category
Q12078	group of diseases involving abnormal cell growth and spread
Q127960	genus of mammals : wild cats
Q8221480	Wikimedia category
Q4579913	Wikimedia category
Q41537118	personal state
Q234901	fruit from which the majority of the original water content has been removed
Q838948	aesthetic item or artistic creation
Q12769326	translation of code written in a higher-level programming language to a lower-level form
Q59002477	scholarly article
Q10212714	Wikimedia set category
Q22813352	person who travels or makes voyages
Q6380926	Japanese actor
Q186398	specifying measures of time-mesaurement in clear reference units
Q9726407	Wikimedia category
Q2811064	time-related philosophical concept
Q55170	Swedish film director, screenwriter and actor (1879-1960)
Q131277	prefecture of Japan
Q2095	any substance consumed to provide nutritional support for the body; form of energy stored in chemical
Q83440	genre of American popular music
Q1367	animal of the "higher primates" (the simians)
Q233894	Korean-American singer
Q3363934	wildlife park
Q14373	activity of trying to catch fish
Q37271	Internet country-code top level domain for France
Q1047337	art genre that depicts scenes from everyday life
Q9027	North Germanic language
Q9756541	Wikimedia category
Q668633	human chromosome
Q12827256	type of traditional narrative
Q855919	category of death used by coroners and vital statistics specialists
Q3439913	traditional Oriental systems of medicine
Q55310044	Wikimedia category
Q15978631	species of mammal
Q815818	land regeneration method
Q747779	magnetic tape used for storing video and sound
Q644371	airport serving international destinations
Q7124299	Wikimedia category
Q35666	large persistent body of ice
Q718	strategy board game
Q7214757	Wikimedia category
Q7215300	Wikimedia category
Q55274377	Wikimedia category
Q16543074	pressure increase
Q5311600	cell type
Q8759576	Wikimedia category
Q86135347	person who practices climbing
Q7031845	Wikimedia category
Q101243423	burning of fossil fuels to provide energy for human systems
Q7453273	Wikimedia category
Q190918	Taiwan, South Korea, Hong Kong & Singapore – they underwent industrialization and maintained high growth rates in the 1960s and 1990s
Q169470	scientist who does research in physics
Q17420457	Wikimedia category
Q5881848	Wikimedia template
Q1142	former administrative region and territorial community of France
Q8946856	Wikimedia category
Q8796091	Wikimedia category
Q11748378	female cattle
Q9177986	Wikimedia category
Q26401003	singular named exemplar of an animal (e.g., the gorilla named Koko; the cat named Socks)
Q1508277	fungal structure bearing hymenium
Q6683804	short-lived reality television series (2001)
Q45971958	genre of the performing arts (such as drama, drama with music, opera, ballet, etc.)
Q333170	structure that allows vessels to overcome a fall in a waterway
Q3255068	animal activity occurring at twilight
Q104594865	Wikimedia category
Q15760459	medical education journal
Q8311121	Wikimedia category
Q17285	flat, two-dimensional surface
Q39861	family of birds
Q42880958	An event which exhibits a display of fireworks, often used for various celebrations or holidays such as New Years Eve.
Q36794	flat, movable structure used to open and close an entrance
Q2625603	ensemble of individuals of a species in an area, or their number
Q39350	evolutionary process by which populations evolve to become distinct species
Q17233246	Wikimedia category
Q9578909	Wikimedia category
Q1260524	type of occurrence
Q184774	species of bird; wild ancestor of the domesticated chicken
Q110420085	set of all the rational numbers except of zero
Q131257	legal concept
Q9689757	Wikimedia category
Q44512	rapid spread of infectious disease to a large number of people in a given population within a short period of time
Q9218578	Wikimedia category
Q1840192	the petals of a flower collectively, forming an inner floral envelope
Q184395	water from a sea or ocean
Q79529	matter of constant composition best characterized by the entities (molecules, formula units, atoms) it is composed of and characterized by physical properties like density
Q1283484	American independent motion picture company in operation from 1992 to 1997
Q321839	understanding, agreement between two or more contracting persons, parties or entities
Q1231896	method of applying paint to achieve desired effects
Q6038822	journalist, publisher (1866-1921)
Q2734060	type of grassy plant
Q131877	polymers of the organic compound isoprene, with minor impurities of other organic compounds; refined from latex harvested from rubber trees
Q1458521	Wikimedia category
Q838671	geography of the country of India
Q44412	Danish physicist and chemist (1777-1851)
Q6967968	Wikimedia category
Q18250289	protein-coding gene in the species Mus musculus
Q11799196	Wikimedia disambiguation page
Q8331	small to medium-sized omnivorous mammal belonging to the family Canidae
Q140565	bowl-shaped plumbing fixture used for washing hands
Q25241	subphylum of chordates
Q6720665	Wikimedia category
Q6839556	Wikimedia category
Q6637221	Wikimedia list article
Q1110794	type of newspaper usually published daily
Q2365301	in botany, the stalk of the stamen
Q15809678	financial service marketed and sold as a packaged commodity
Q3335089	part of a fish
Q109564569	thematic relation for the means by which an action is carried out
Q87748614	Wikimedia WikiProject dedicated to COVID-19
Q84117541	Wikimedia category
Q4046	Wikimedia category
Q13365337	Wikimedia portal
Q8942423	Wikimedia category
Q15982450	transmission and distribution of music or other audio through a data stream
Q782	state of the United States of America
Q457931	spatial and geometric configuration of all the elements that make up a rock
Q82580	force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other
Q16845347	14th president of India
Q5535125	overview about the geography of Berlin
Q6249834	Wikimedia template
Q10116375	Wikimedia category
Q1028259	physical quantity
Q28836171	Wikimedia category
Q330305	term encompassing reported cases of the combustion of a human body without an apparent external source of ignition
Q3	matter capable of extracting energy from the environment for replication
Q50690	chemical compound with at least one oxygen atom
Q1064858	case furniture used as a worksurface, often in a school or office setting
Q35765	designated city in Kansai, Japan
Q6719357	Wikimedia template
Q230633	Polish actress
Q230036	JavaScript library
Q7195035	Wikimedia category
Q505531	layer of skin between the epidermis (with which it makes up the cutis) and subcutaneous tissues, that primarily consists of dense irregular connective tissue and cushions the body from stress and strain
Q1067164	regular operation of a particular path for a type of public or non-public transportation
Q84084404	Wikimedia category
Q19143005	Wikimedia disambiguation page
Q12271	both the process and product of planning, designing and construction
Q47528	object detection system based on radio waves
Q5610083	Wikimedia category
Q55274246	Wikimedia category
Q11698	Supreme law of the United States of America
Q10443	constellation in the northern celestial hemisphere
Q14407125	Wikimedia template
Q838116	Group of four
Q1127296	drinking vessel
Q1115038	type of medical symptom where the nasal cavity is filled with fluid mucus
Q1410980	steam-propelled warship protected by iron or steel armor plates
Q707680	artery found in females
Q679	one of the four cardinal directions
Q1147172	funds held in demand deposit accounts
Q42807	city and prefecture of the Gard department in the Occitanie region of Southern France
Q7187	basic physical and functional unit of heredity
Q461585	globular object sometimes topped with a cross; Christian symbol of authority
Q905495	lightweight black residue, made of carbon and ashes, after pyrolysis of biomass
Q24060765	anatomic organ of an animal
Q10349334	piece of music to be performed by a single pianist
Q1790144	measurement unit for time
Q113098404	field of research
Q19848507	head of the City of Pittsburgh, USA
Q10963661	Wikimedia template
Q4409462	Soviet film director (1934-1999)
Q36092	2002 American animated science fiction comedy-drama film
Q8365370	Wikimedia category
Q15911738	facility generating electric power using hydroelectricity
Q9563247	Wikimedia category
Q334453	distinct and large part of an organization
Q11183785	Wikimedia disambiguation page
Q2722705	outermost layer of the pericarp
Q9789161	Wikimedia category
Q7597519	term for an overzealous fan and supporter of a celebrity
Q181767	in linguistics, relative emphasis given to a syllable or other speech element
Q11578774	a program, can either be a brand, a series or an episode
Q3323126	mountain range in Lianyungang, Jiangsu, China
Q169336	substance formed when two or more constituents are physically combined together
Q1197911	district in Anhui Province, China
Q21073024	solid that may ignite in the presence of a source of ignition
Q46335	mechanical or electromechanical machine for typing characters
Q424630	philosophical attribute
Q5256030	demographics of region
Q197178	Chinese politician
Q8798082	Wikimedia category
Q8758601	Wikimedia category
Q15416	segment of audiovisual content intended for broadcast on television
Q12372934	type of sediment
Q1154914	lake
Q16000278	overview of and topical guide to industry
Q2290559	opposite of thirst
Q1544262	garment with a close-fitting collar that folds over and covers the neck
Q26161438	closeness in value, meaning or effect; relation in which difference can be neglected for practical purposes
Q65386997	clinical trial
Q36534	process that results in the interconversion of chemical species
Q8507811	Wikimedia category
Q6445289	Wikimedia category
Q6991016	Wikimedia category
Q173514	inhibition of microbial growth in food
Q544006	cognitive disorder with an excessive, irrational dread of everyday situations
Q2261792	scientific journal
Q12075242	aspect of history that surrounds the historical extraction of minerals
Q37537637	family name
Q31374404	large indoor shopping center, usually anchored by department stores
Q61951	result of process of extracting chemical compounds or flavors from plant material in a solvent
Q11879590	given name usually meant for girls and women
Q8645129	Wikimedia category
Q8075257	the largest juice and smoothie bar chain in Europe with over 100 establishments in 13 countries
Q41191	Internet country-code top level domain for the Central African Republic
Q25336	infraclass of mammals
Q1109340	painting by Sandro Botticelli in the Uffizi
Q318	huge cluster of celestial bodies
Q5855584	Wikimedia template
Q27253945	ICAA rating category
Q19088	taxonomic group whose members have a cell nucleus enclosed within a nuclear envelope
Q13406057	Wikimedia portal
Q12820644	Uzbek name of a state of matter
Q21175303	hazardous chemical exposure
Q13415392	external body part, or natural prolongation, that protrudes from an organism's body (in vertebrate biology, an example would be a vertebrate's limbs); any of the homologous body parts that may extend from a body segment
Q3553322	finite  moving pattern in a cellular automaton
Q572093	1973 studio album by Paul McCartney and Wings
Q7142706	Wikimedia category
Q44532072	marketing event introducing a product, brand, or fashion collection
Q537395	voluntary organization
Q84026837	Wikimedia category
Q21173349	hazardous chemical exposure
Q201463	river in China
Q20664846	album by Future
Q44176	American professional wrestler, actor and television personality
Q55329751	Wikimedia category
Q320651	American actor
Q184382	natural region between Argentina, Uruguay and Brazil
Q1196129	partner in a marriage, civil union, domestic partnership or common-law marriage
Q17376908	language, variety of a language, or group of languages
Q20743760	2010 edition of the reference work published by Sage
Q1805910	Wikimedia disambiguation page
Q18175531	variety of the common bean (Phaseolus vulgaris)
Q7163803	Wikimedia category
Q918	American social networking site
Q43432	American singer, songwriter, record producer, and actor (born 1981)
Q130018	North America's highest mountain
Q13389950	provincial-level government of Fujian, China
Q1309294	from 1929 to 1932 house of Albert Einstein
Q1932220	2010 album by Hurts
Q7112644	overview of and topical guide to games
Q39607	French chemist
Q60	most populous city in the United States
Q8046	overview of the economy in the Federal Republic of Germany
Q7056	Identifier for a time offset from UTC of +10
Q16533708	base frequency
Q116269	chemical compound
Q578170	48 states of the United States (all but Alaska and Hawaii) and the District of Columbia
Q27031092	badminton championships
Q10772391	all iron-based alloys
Q204854	first public performance of a work
Q70467303	process of seeking to make a value as small as possible
Q187934	single-rail based transportation system
Q211439	nutrition for all animals kept by humans
Q36681505	scientific article published on 19 March 2008
Q16938807	direction faced by the back of an item
Q20575665	top-level domain
Q6046225	episode of The Young Ones
Q188913	artificially established forest, farm or estate, where crops are grown for sale
Q7214712	Wikimedia category
Q4988478	Wikimedia list article
Q104229724	Wikimedia category
Q106562186	process of depositing material underground or covering it with earth
Q6279565	Wikimedia template
Q8458027	Wikimedia category
Q4967788	village and municipality in Zaqatala, Azerbaijan
Q140067	medical condition
Q268592	group of companies that produce a closely related set of raw materials, goods, or services
Q34290	primary branch of Chinese spoken in Eastern China
Q6334989	Wikimedia category
Q93189	edible animal product
Q91125835	Wikimedia template
Q207804	first part of the ode
Q13917	region in France where the capital Paris is located
Q29300980	scientific article (publication date: February 1955)
Q28398919	Wikimedia category
Q2560704	first minister of the government of Ontario
Q8894096	Wikimedia category
Q93352	area where land meets the sea or ocean
Q47817360	scientific article published on 23 December 2013
Q5616096	Swedish actor
Q8822949	Wikimedia category
Q3538246	span between bridge supports
Q16321420	general term for a literary work dealing with animals
Q44696	national anthem of the United States
Q8671846	Wikimedia category
Q8718041	Wikimedia category
Q5256058	overview of the demographics of Ontario
Q64587149	Spanish politician
Q7187734	peer-review scientific journal
Q1138780	legal system of England and Wales
Q13534266	Wikimedia list article
Q10873124	individual who takes part in chess tournaments
Q12820205	machine for the printing of materials
Q36492844	act of producing, making or creating something
Q330284	space in which a market operates
Q2946956	superfamily of mammals
Q206021	process by which an object moves, through an atmosphere or beyond it
Q25245117	telecommunications industry in general or providers of telecommunications networks and services
Q1311	one of the Earth's four temperate seasons, occurring between autumn and spring
Q770899	economic sector
Q15343	semi aquatic egg laying mammal native to Australia
Q7037170	Wikimedia category
Q1251128	journal
Q7217023	Wikimedia category
Q7286260	Wikimedia category
Q27499098	2016 single by Hailee Steinfeld and Grey
Q9219494	Wikimedia category
Q7063319	Wikimedia category
Q430258	human chromosome
Q910035	ability to easily ignite in air at ambient temperatures
Q49078	people of the United States who are considered or consider themselves White
Q7235103	racehorse
Q104228078	Wikimedia category
Q17319881	painting by Melchior d' Hondecoeter
Q8607509	Wikimedia category
Q39074527	1934 film by Tony Lekain, Gaston Ravel
Q13406846	Valid - first described prior to 1959 (pre-IMA) - "Grandfathered"
Q80110	national flag of Canada
Q60528728	quality of being undesirable or unwanted
Q4537333	abbreviations used by ancient and medieval scribes writing in Latin, and later in Greek and Old Norse
Q46744	ability to think about and use concepts to deal adequately with an object
Q34467	optical disc format for the storage and playback of digital audio and other digital data
Q104416361	effort to improve Wikidata items on NIOSH publications
Q271960	amount of light captured by a camera
Q12514	hydroelectric dam that spans the Yangtze River by the town of Sandouping, China
Q17781690	subdivision of a whole organism, consisting of components of multiple anatomical systems
Q8613763	Wikimedia category
Q8982416	Wikimedia category
Q8282181	Wikimedia category
Q747883	human physical activity consisting of voluntary bodily movement by skeletal muscles
Q4618975	honorific title for a holder of a doctoral degree
Q305418	relinquishment under law
Q549322	profession
Q192047	manufacturing process in which a piece of raw material is cut into a desired final shape and size by a controlled material-removal process
Q6055178	Wikimedia template
Q2547819	vertical side of a building or room
Q7386634	Wikimedia category
Q96991743	New York City open data portal
Q1401693	Wikimedia list article
Q128017	1997 studio album by Jay-Z
Q775343	species of mammal
Q18536342	player of a competitive sport or game
Q1754	capital and largest city of Sweden
Q215501	study of soils in their natural environment
Q34651	ecclesiological term
Q10859821	unit of measurement
Q506273	digital network implementation in which two nodes establish a dedicated channel through the network before they communicate
Q60172994	functional or decorative part at the top of various tools and fasteners, as a pin or screw
Q577011	male given name
Q21009055	OSHA (U.S.) classification for liquid
Q790	island sovereign state in the Caribbean Sea
Q1773	capital and largest city of Latvia
Q5963628	Wikimedia template
Q39911916	singular piece of advertising
Q1472481	food that is spread, generally with a knife, onto food products such as bread and crackers
Q190200	height in relation to a certain reference point; (general) distance measurement, usually in the vertical or "up" direction, between a reference datum and a point or object. The reference datum also often varies according to the context
Q25218452	Wikimedia category
Q41755623	Wikidata reason for deprecation
Q5484	lake between Europe and Asia
Q8773545	Wikimedia category
Q50430196	substances or organisms which pollute the water or bodies of water
Q83973	monumental gate in the centre of Beijing, China
Q184453	plant tissue outside the vascular cambium or the xylem; in older trees may be divided into dead outer bark and living inner bark, which consists of secondary phloem. external parenchymal tissue, located just below the epidermis of the stem
Q496672	stock exchange in Hong Kong, operated by HONG KONG EXCHANGES AND CLEARING LIMITED
Q8821538	Wikimedia category
Q319891	political concept, the right to vote for all adult citizens
Q5078274	quickly executed freehand drawing
Q110458486	taking a playing card from a deck and adding it to one's hand
Q3305019	traffic collision where the front ends of two vehicles such as cars, trains, ships or planes hit each other in opposite directions
Q7510214	which took place during the Mexican–American War
Q49892	form of government
Q17379796	vessel used for one or more particular ritual activities
Q622460	materials made only out of carbon
Q11781028	chemical elements needed in minute quantities for the proper development of an organism
Q107421150	Transplanting of adult trees
Q3132741	astronomical object with insufficient mass to sustain nuclear fusion
Q7007340	Wikimedia category
Q8149202	Wikimedia category
Q20011064	Australian record label
Q110916833	state of being organized
Q15523	lake in Lombardy, Italy
Q35137	form of Chinese spoken from the beginning of written records (around 1200 BC) until the 3rd century BC
Q242468	person who makes, repairs, or alters clothing professionally
Q184373	chemical compound
Q54820129	musical instruments, flutes, made of bamboo
Q56660244	category in the Red List of threatened species in the Czech Republic
Q111634522	American actress
Q670713	group of neural structures responsible for positive emotions
Q189598	chemical element required as an essential nutrient by organisms to perform functions necessary for life
Q5679431	metal that does not contain iron in appreciable amounts
Q15584011	Wikimedia portal
Q1725664	study of terms and their uses
Q15304650	mammalian chromosome
Q13189	species of fruit tree (for the fruit use Q13202263)
Q7521902	Wikimedia category
Q6863909	Wikimedia template
Q77	sovereign state in South America
Q1072983	first month of the Chinese calendar
Q4587240	Wikimedia subject-area collaboration
Q366134	type of furniture
Q7216152	Wikimedia category
Q43177	group of chemical compounds
Q11696	head of state and head of government of the United States of America
Q3980888	1929 film by Marshall Neilan
Q522344	in games, abstract quantity associated with a player or team, which tracks the results of game play and determines the winner
Q4740571	Wikimedia list article
Q153	chemical compound
Q7157436	Wikimedia category
Q968159	tendency or style in art with a specific common philosophy or goal, possibly associated with a specific historical period
Q311515	species of plant
Q161078	longterm population movements (shift) from rural to urban areas;gradual increase in the proportion of people living in urban areas, and the ways in which each society adapts to the change;process by which towns and cities are formed and become larger
Q2303035	sculptor, father of Socrates
Q1363554	activity of evaluating financial markets and products
Q20490867	painting by A. Kinder or Rinder
Q30014662	of, pertaining to or originating from beyond the outer surface, limit or boundary
Q2798912	concept of responsibility in ethics, governance and decision-making, which encompasses answerability, blameworthiness, liability, and the expectation of account-giving
Q2208716	Indonesian author
Q14536140	use of physical or perceived energy by a person
Q8253667	Wikimedia portal
Q1274979	created entity, often referring to an animal (referencing creationism)
Q38848	genre of rock music characterized by slack-tuned instruments, and unconventional changes of tonality (key) and time signature (metre)
Q15689935	Wikimedia disambiguation page
Q11245699	single release by Miyuki Hashimoto
Q11413	board game for two players that originated in China more than 2,500 years ago
Q692096	abstract state of being clean and free from dirt
Q272160	geography of the United States of America
Q11109938	Wikimedia portal
Q6663	American sandwich of ground beef patty
Q1853446	symbol indicating a trademark or service mark that has been registered with a national trademark office
Q11414060	Japanese singer, songwriter, composer, arranger (1953-)
Q194189	act of selling a product or service in return for money or other compensation
Q6886818	album by Matt Costa
Q7112608	overview of and topical guide to diabetes
Q7154279	Wikimedia category
Q7904078	Wikimedia category
Q43164	space primarily used for preparation and storage of food
Q9324899	Polish economist and politician
Q529711	point where something begins
Q16920758	manipulation of edible ingredients
Q177053	honorific for men under the rank of knighthood
Q83180	top covering of a building
Q16281769	female given name
Q1709184	device used for heating in industry
Q188847	interdisciplinary field that studies human interaction with the environment
Q13389141	high-temperature soldering; metal-joining technique by high-temperature molten metal filling
Q8048659	Wikimedia category
Q104630916	Wikimedia category
Q6685124	Chinese plucked lute
Q19369096	Wikimedia portal
Q6996908	Wikimedia category
Q152	vertebrate animal that lives in water and (typically) has gills
Q20136	plant root used as a vegetable
Q17991228	national defence
Q90415825	site of injection
Q1433344	airport infrastructure
Q5655518	Hard disk drive performance characteristics
Q56350999	thought
Q65199218	borders of Japan
Q10928427	landscape
Q82747771	allergy to horses
Q64831170	Foyer
Q63615464	box
Q10369298	secretaryship
Q24090568	Diccionario de materias y técnicas (II)
Q886461	engorgement
Q7679200	talent management system
Q63091761	cellular automaton pattern
Q59959228	WikiProject Goats
Q109852002	movement aid device
Q5651884	Haplogroup O-M268
Q12037703	mineral substance
Q62116341	Fusarium graminearum PH-1
Q14473756	poussin
Q2135597	rights policy
Q16926731	Flower of Macau
Q19693354	Doctor of Philosophy in Physics
Q11750528	Duchy of Moscow
Q59138835	data base
Q4380412	Yury Anatolyevich Prokofiev
Q20961706	Infernal Dictionary, 6th ed.
Q2267856	personal testimonial
Q1662040	industrial geography
Q808424	Barnard Medal for Meritorious Service to Science
Q105295132	electromagnetic magnitudes
Q111982540	Tetrapanax papyrifer rice paper
Q95282996	Alex Bloom
Q97279487	poacher
Q66563318	primary anatomical coordinate
Q59939611	eagle cry
Q13099607	WARM
Q7049495	nonmineral
Q20719696	physico-geographical object
Q50810224	female voice
Q3741966	building science
Q16773091	Prime Minister of the Central African Republic
Q97069865	Connecticut Open Data
Q196878	slip of paper
Q7267188	Qaum
Q11640551	criminal negligence
Q3551559	université d'été
Q5535261	geography of food
Q48757486	Instrument of the Year
Q17305746	northern settlement of Saskatchewan
Q5508274	fullerene chemistry
Q1799911	brick and mortar trading
Q25506835	abdominal segment of trunk
Q15296531	position of authority
Q16740275	coat of arms of Pittsburgh
Q19758137	Disinfect
Q2868277	associate
Q106729628	Metropolitan Museum of Art Constituent Database
Q1455803	lubrication
Q1005887	Fórum Hungary
Q12728922	geography of Connecticut
Q4390237	melting
Q104249197	Senegalia berlandieri
Q7860962	road type
Q12045721	tire cord
Q104694359	WikiProject PCC Wikidata Pilot/Frick Art Reference Library
Q35661296	rice porridge
Q19818606	Broad Green Pictures
Q5454629	fish head
Q1191255	table set
Q6493472	right lobe of liver
Q47007749	set of constructible numbers
Q7826461	Toronto Open Data
Q5456713	flag of Buffalo, New York
Q9252210	El Mas Mates
Q2376542	context of discovery
Q30027695	0 number class
Q1759640	cancellous bone
Q4986435	Building-integrated agriculture
Q840436	Limnology
Q15710848	President of the Central African Republic
Q27131234	खेळ
Q102182880	academic age
Q41172303	core concept
Q864861	biotope of the year
Q10539254	Red Fuji
Q66516262	free lower limb segment
Q20918473	plant watering
Q6944126	Elma
Q2072485	Individual support
Q15921574	area of plane shape
Q11698188	flag of Ełk
Q26305696	food-borne transmission
Q52412939	16
Q96993919	Ontario Open government portal
Q2931445	Venice city dialect
Q4903382	bibliography of Ontario
Q54276825	Google Summer of Code 2018
Q1088487	Academic aspirant
Q33686650	Nghia Thin Nguyen
Q104098715	territorial entity type
Q42209974	sagittal axis
Q27915576	N - 15
Q97062858	Los Angeles Open Data
Q4215086	karyology
Q21680406	A. Kinder or Rinder
Q59618763	gymnosperms
Q11870297	vegetable fat
Q3030073	Therion discography
Q66561296	heterogeneous anatomical cluster
Q23395885	luitenant ter zee der eerste klasse
Q11441208	Osaka 1st district
Q9340743	Spust
Q22281435	methane metabolic process
Q6432313	Category:Personifications
Q7903336	Uttar Pradesh Legislature
Q484790	enthalpy of fusion
Q3372957	Sincere
Q23883	Dead Sea
Q11635	theatre
Q4644326	Province
Q106448766	Collections of Musée national de la Marine de Paris
Q34517851	monarch of Tuvalu
Q1030037	report
Q276173	pavilion
Q695252	Parliament of India
Q50156634	pathogen spread
Q1869502	long position
Q28581	Portal:Language
Q760318	posterior chamber of eyeball
Q12981598	Template:Germany topics
Q105654429	Template:ACArt
Q6241693	Category:Burials in the United Kingdom
Q12102324	dramatic literary genre
Q34120414	business address
Q5783841	Legislative Council of Falcón
Q97667559	driving under the influence of alcohol
Q94736848	Helene Weber
Q8132345	Category:Locks (water transport)
Q48015	South East England
Q644302	motivation
Q10427676	civil defense
Q8126980	Category:Wheels
Q15906568	geography of Hunan
Q357279	cultivation
Q63307285	Pioneer of Reform
Q11663	weather
Q7144547	Category:Moscow
Q3539667	Joshua Schachter
Q23841	washing
Q13141064	badminton player
Q843816	inertial mass
Q5868144	superorder
Q937946	solid figure
Q22914691	Ultraviolet A
Q899277	recruitment
Q714496	Larry Clark
Q110249806	WikiProject Craft
Q3013519	dangerousness
Q131758	Desperate Housewives
Q3135124	HiSilicon
Q4292136	mechanical properties of fiber
Q17584038	oral media
Q11440266	Osaka City Hall
Q17176254	timeline of Osaka
Q3323440	Princess of Asturias Award for Concord
Q26904132	visual arts technique
Q47310992	set of irrational numbers
Q11907927	flag of Roses
Q30242023	money amount
Q60793665	Intellectual rights
Q113057244	skin type
Q6004788	immediately
Q55627656	Open Data Buffalo
Q28417149	geography of Jiangsu
Q10458475	TWAS fellow
Q57616098	courier services
Q57050725	necked box lutes played with a bow
Q19727767	Criminal Code of Indonesia
Q17107707	Upslope Brewing Company
Q55118936	Kirchgemeinde
Q27062218	multicellular structure
Q741750	long posterior ciliary arteries
Q6482347	Lamp harp
Q10469668	Descend
Q10296989	soft science
Q4920250	Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang
Q66596064	subdivision of body proper
Q18907800	Amanda Award for Best Film
Q112128860	Electric power production
Q59156245	abstract journal
Q1324197	preview
Q7509848	Siege of Bangalore
Q65189100	Mayor of Dry
Q33111068	Proceedings of the human factors and ergonomics society : 48th annual meeting.
Q111975768	Peking opera actor
Q94802614	Jan Hinckaert
Q20687987	Shanghai People's Congress
Q11488654	Retrograde movement
Q12018897	hydrohalic acid
Q66557904	subdivision of auriculotemporal part of head
Q707419	ovarian artery
Q11613008	self-education
Q3201372	Xylology
Q18407915	silk-secreting glands
Q57814795	domesticated mammal
Q1662340	Transmission (medicine)
Q107356803	period drama novel
Q97062822	Open Data Moscow city
Q20981084	police history
Q4231501	Constitutional (charter) court of a subject of the Russian Federation
Q15629613	axis of symmetry
Q5522423	garden structure
Q102421356	national pavillon
Q12046593	Danube basin
Q2713697	Fatigue-Syndrom
Q1796978	geography of the Democratic Republic of the Congo
Q102397207	Revising Wilde: Society and Subversion in the Plays of Oscar Wilde
Q6795554	maxillary prominence
Q15935103	National Basic Ability Construction Project of Western and Central China
Q21129738	Parisian cuisine
Q27064338	null polytope
Q109121530	Potato chips
Q96758092	type of regulation and control
Q2161355	flag of Falcón
Q96997760	Open Data Portal Russia
Q2238184	driving rain
Q378914	orthographic dictionary
Q76836247	Oldspeak
Q55404543	Five Great Mountains
Q14203776	Southeast China
Q25624674	anatomical direction
Q17028445	Hyperstagflation
Q3740505	mayor of Tallinn
Q107708444	reinforcement
Q1578686	hepatic vein
Q11832901	Qui Transtulit Sustinet
Q55164632	male voice
Q1344055	Vegetable of the year
Q28008277	acquaintance
Q219320	input/output
Q1965974	demographics of the United States
Q221024	coat of arms of Australia
Q15221373	fourth-class city
Q26377667	Bench-scale Test to Selectively Recover Metals from Metal
Q1714828	hunter
Q309159	coat of arms of Tuvalu
Q9368	liver
Q175185	rural area
Q25450262	health care
Q12269872	Portal:Social sciences
Q84079882	Category:Maps of Shenzhen
Q5511011	Fujian Provincial Sports Centre Stadium
Q211976	John Petrucci
Q69512460	Sun-gyu
Q232273	Isabel Coixet
Q37501	eyeglasses
Q524778	commissioner
Q185357	phase change
Q386905	familiar
Q2990593	behavior
Q12894628	softness
Q958200	Erik Poppe
Q279829	Shatranj
Q3078009	Fort Rouillé
Q19753345	polyatomic nonmetals
Q97040416	one-year-old
Q67546530	Short Biographies of Chinese Science and Technology Experts, Science Series, Volume 2 of Mathematics
Q13166107	z-axis
Q74873239	Priyanka Pulla
Q12162227	transportation
Q426799	biocatalyst
Q109490582	ISO 80000-2:2019 Quantities and units — Part 2: Mathematics
Q1379116	base station
Q1400216	standard French
Q18149672	demographics of Buffalo, New York
Q7284034	railmotor
Q11089918	Pulong
Q15767571	dolphin language
Q57306162	plucked necked box lute
Q171558	accident
Q77667944	cosmetic terminology
Q8504358	Category:Hamburger SV
Q102167691	Communist Chinese Military Companies
Q39582	.ca
Q109246805	philosophy department
Q2175964	cubic decimetre
Q91888146	tree of the year (Austria)
Q861083	Bildschirmtext
Q8739630	Category:Shirts
Q669996	kuku
Q4917	United States dollar
Q460967	American Robin
Q203872	being
Q642420	Christ
Q112166113	administration publique générale
Q28888841	Fairchild's Dictionary of Textiles
Q11473972	Atsuhiro Iwakami
Q28980109	B
Q26359826	Phone Line Signal Propagation in Coal Mines
Q3055298	maintenance of built heritage
Q14615904	Portal:Human body
Q16031681	Lord Marcus Beresford
Q46122413	Simia troglodytes
